"(Benchmark_method, commit)",Add Parameter,Change Parameter Type,Change Variable Type,Move Attribute,Remove Method Annotation,Move Method,Extract And Move Method,Add Class Annotation,Change Attribute Type,Extract Method,Parameterize Variable,Add Method Annotation,Inline Method,Extract Interface,Change Return Type,Split Attribute,Replace Variable With Attribute,Remove Parameter,Inline Variable,Extract Attribute,Extract Variable,Move Source Folder,Move Class,Extract Class,Push Down Attribute,Merge Attribute,Modify Method Annotation,Extract Superclass,Pull Up Method,Pull Up Attribute,Merge Variable,Add Attribute Annotation,Change Package,sum,delta
"(bench.HdrHistogramEncodingBench.roundtripCompressed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressedNoTZLE,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,e0b6c609fe7b489a8ab716dd640c8d39b7d7a6ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
