"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Parameter Type,Change Variable Type,Add Method Annotation,Replace Variable With Attribute,Pull Up Method,Extract Variable,Change Attribute Type,Remove Parameter,Add Parameter,Move Class,Merge Parameter,Move Attribute,Modify Method Annotation,Remove Method Annotation,Extract Superclass,Parameterize Variable,Extract And Move Method,Extract Class,Move Method,Extract Attribute,Pull Up Attribute,Move And Inline Method,Add Class Annotation,Inline Method,Split Parameter,Inline Variable,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Merge Attribute,Extract Interface,Remove Attribute Annotation,Remove Class Annotation,Modify Class Annotation,Split Attribute,Reorder Parameter,Add Attribute Annotation,Modify Attribute Annotation,Split Variable,Move Source Folder,Add Parameter Annotation,Replace Attribute,Change Package,Modify Parameter Annotation,Remove Parameter Annotation,sum,delta
"(org.apache.kafka.jmh.common.FetchRequestBenchmark.testSerializeFetchRequestForReplica,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.acl.AclAuthorizerBenchmark.testAclsIterator,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.common.FetchRequestBenchmark.testFetchRequestForReplica,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.consumer.SubscriptionStateBenchmark.testFetchablePartitions,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.fetcher.ReplicaFetcherThreadBenchmark.testFetcher,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.partition.UpdateFollowerFetchStateBenchmark.updateFollowerFetchStateBenchNoChange,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureValidation,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.common.TopicBenchmark.testValidate,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.fetchsession.FetchSessionBenchmark.incrementalFetchSessionBuild,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.acl.AclAuthorizerBenchmark.testAuthorizer,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.kafka.jmh.common.FetchResponseBenchmark.testConstructFetchResponse,dd2b9eca5d6eee507d3c5baaf0647554e201fe18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
