"(Benchmark_method, commit)",Remove Method Annotation,Change Attribute Type,Change Parameter Type,Modify Class Annotation,Change Return Type,Extract Variable,Add Method Annotation,Extract Method,Change Variable Type,Move Class,Extract Superclass,Extract Class,Move Method,Move Attribute,Extract Interface,Add Class Annotation,Remove Class Annotation,Add Parameter,Modify Method Annotation,Remove Attribute Annotation,Pull Up Method,Remove Parameter,Replace Variable With Attribute,Move And Inline Method,Inline Variable,Add Attribute Annotation,Parameterize Variable,Inline Method,Extract And Move Method,Extract Subclass,Push Down Method,Push Down Attribute,Merge Parameter,Extract Attribute,Remove Parameter Annotation,Modify Parameter Annotation,Add Parameter Annotation,Add Variable Annotation,Change Package,Pull Up Attribute,Move Source Folder,Reorder Parameter,Merge Attribute,sum,delta
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseRandomCase,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersAnnotated,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersUnannotated,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringNotEquals,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsOther,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsCopy,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsCopy,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsRandomCase,8c1228a27b25ca3bd285f76c3a3d0ed092b61195)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsOther,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsRandomCase,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseRandomCase,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersAnnotated,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersUnannotated,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringNotEquals,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsOther,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsCopy,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsCopy,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsRandomCase,e6961736e7db077d52877591bc22b2852216909c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsOther,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbi,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbc,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsRandomCase,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseRandomCase,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersAnnotated,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersUnannotated,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringNotEquals,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsOther,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiNamed,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.BeanBindingBenchmark.oneJdbc,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiPositional,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsCopy,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsCopy,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiBean,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.BeanBindingBenchmark.batchJdbiMap,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsRandomCase,dc56c4f203c13fca1dda08dfe02bdadd7ef51f7d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsOther,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByOrdinal,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsRandomCase,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringEquals,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseRandomCase,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersAnnotated,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.getQualifiersUnannotated,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapQualifiedBean,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.stringNotEquals,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsOther,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseCopy,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByExactName,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.EnumMapperBenchmark.mapByRandomCaseName,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.toLowerCaseEqualsCopy,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsCopy,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseSensitive,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsRandomCase,41cd220c610d948dd6ffbde3a69690a3b40a93f1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.collatorEqualsOther,e3de95e3757c38272ae6525ee80b02a886929033)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.core.EnumBenchmark.mapEnumCaseInsensitive,e3de95e3757c38272ae6525ee80b02a886929033)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.CaseInsensitiveStringEqualsBenchmark.equalsIgnoreCaseOther,e3de95e3757c38272ae6525ee80b02a886929033)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jdbi.v3.benchmark.QualifiersBenchmark.mapUnqualifiedBean,e3de95e3757c38272ae6525ee80b02a886929033)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
