"(Benchmark_method, commit)",Add Attribute Annotation,Remove Class Annotation,Modify Method Annotation,Remove Method Annotation,Move Class,Remove Attribute Annotation,Change Return Type,Remove Parameter,Add Method Annotation,Change Package,Modify Class Annotation,Add Parameter Annotation,Add Parameter,Change Attribute Type,Change Parameter Type,Remove Parameter Annotation,Extract Method,Extract Variable,Pull Up Attribute,Pull Up Method,Move Attribute,Extract And Move Method,Add Class Annotation,Change Variable Type,Inline Method,Replace Variable With Attribute,Move And Inline Method,Push Down Method,Extract Superclass,Extract Interface,Extract Class,Push Down Attribute,Move Method,Modify Parameter Annotation,Reorder Parameter,Split Parameter,Inline Variable,Parameterize Variable,Move Source Folder,Modify Attribute Annotation,Extract Subclass,Extract Attribute,Split Variable,Merge Parameter,Replace Attribute,sum,delta
"(co.elastic.apm.benchmark.reporter.HttpMoshiReporterBenchmark.testSerialization,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.NoopReporterBenchmark.testReport,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.objectpool.ObjectPoolBenchmark.testRingBufferObjectPool,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.NoopReporterBenchmark.sendPayload,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpCborJacksonReporterBenchmark.testSerialization,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpJacksonReporterBenchmark.sendPayload,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpJacksonReporterBenchmark.testReport,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactoryRecycling,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpNoopJsonReporterBenchmark.sendPayload,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpJacksonReporterBenchmark.testSerialization,6ea644050e2e4dece55bc382eaf43543aa8df504)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
