"(Benchmark_method, commit)",Add Parameter,Extract Variable,Extract Method,Move Method,Extract And Move Method,Change Attribute Type,Change Variable Type,Merge Parameter,Change Parameter Type,Merge Variable,Extract Class,Move Attribute,Remove Parameter,Modify Attribute Annotation,Add Class Annotation,Remove Method Annotation,Change Return Type,Move Class,Add Method Annotation,Modify Class Annotation,Push Down Method,Parameterize Variable,Modify Method Annotation,Inline Method,Extract Superclass,Extract Subclass,Push Down Attribute,Extract Attribute,Pull Up Attribute,Pull Up Method,Move And Inline Method,Inline Variable,Split Parameter,Replace Variable With Attribute,Reorder Parameter,Remove Class Annotation,Replace Attribute,Move Source Folder,Extract Interface,Change Package,Modify Parameter Annotation,Add Attribute Annotation,Split Variable,Merge Attribute,Remove Attribute Annotation,Split Attribute,Add Parameter Annotation,Remove Parameter Annotation,sum,delta
"(water.NewChunkBench.writeLongsConstants,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeIntegersSparse,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.rowsColsRead,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsReadWithTypeDispatch,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.util.IcedHashMapBench.writeMap,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.tree.gbm.GbmDistributionBench.trainGbmModel,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAJMHTraining.measureQuasarTraining,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeLongs,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.ChunkBench.colsRowsRead,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeDoublesConstants,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeFloatsConstants,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.mojo.glm.GlmMultinomialMojoBench.score0_nRows,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.KeyEqualsBench.keyEquals,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.pca.PCAImputeMissingTrainingBench.measureImputeMissingTraining,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.KeyEqualsBench.keyHash,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeDoubles,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeLongsSparse,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(hex.psvm.SupportVectorScorerBench.perRowScoring,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(water.NewChunkBench.writeFloatsSparse,187c3f32030630091c0502074a958bfddf6e3faf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
