"(Benchmark_method, commit)",Extract Method,Extract Variable,Extract Interface,Add Parameter,Change Variable Type,Change Attribute Type,Extract Superclass,Pull Up Method,Change Package,Move Class,Move Source Folder,Remove Method Annotation,Add Method Annotation,Change Parameter Type,Move Attribute,Add Attribute Annotation,Remove Attribute Annotation,Inline Method,Extract And Move Method,Modify Method Annotation,Add Class Annotation,Remove Class Annotation,Change Return Type,Extract Class,Move Method,Inline Variable,Replace Variable With Attribute,Remove Parameter,Split Variable,Parameterize Variable,Split Parameter,Pull Up Attribute,Move And Inline Method,Add Parameter Annotation,Remove Parameter Annotation,Extract Attribute,sum,delta
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.post,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.LocatorBenchmark.measure,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncIgnore,682f66cbd0e8dc6ce14222f8c225267dde9826eb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncBlock,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JacksonBenchmark.measureResource,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.asyncEntityIgnore,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.ClientBenchmark.get,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.glassfish.jersey.tests.performance.benchmark.JerseyUriBuilderBenchmark.uri,895c293e366afce166e508ae9db23f9e4b9b5f80)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
