"(Benchmark_method, commit)",Extract Method,Add Method Annotation,Change Parameter Type,Change Variable Type,Change Return Type,Remove Parameter,Inline Method,Pull Up Attribute,Move And Inline Method,Add Class Annotation,Modify Class Annotation,Add Parameter,Change Attribute Type,Inline Variable,Move Source Folder,Remove Method Annotation,Modify Method Annotation,Extract Variable,Pull Up Method,Add Attribute Annotation,Move Method,Move Attribute,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Extract And Move Method,Extract Superclass,Remove Class Annotation,Move Class,Extract Interface,Change Package,Extract Attribute,Reorder Parameter,Merge Attribute,Merge Parameter,Remove Parameter Annotation,Parameterize Variable,Replace Variable With Attribute,Remove Attribute Annotation,Modify Attribute Annotation,Merge Variable,Replace Attribute,Split Attribute,Split Variable,sum,delta
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddV,4fcb2db39e823cedd8faa6708426c9f554a01f34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testEdgeProperty,4fcb2db39e823cedd8faa6708426c9f554a01f34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_match_selectXbX_valuesXnameX,4fcb2db39e823cedd8faa6708426c9f554a01f34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_localXout_out_valuesXnameX_foldX,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddVertex,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_label_groupCount,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_out_out_path,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testVertexProperty,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_outE_inV_outE_inV_outE_inV,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testVertexPropertyStep,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_localXout_out_valuesXnameX_foldX,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_E_hasLabelXwrittenByX_whereXinV_inEXsungByX_count_isX0XX_subgraphXsgX,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddEdge,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_out_out,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_repeatXoutX_timesX3X,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_repeatXoutX_timesX2X,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_mapXout_out_valuesXnameX_toListX,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testEdgePropertyStep,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddE,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddV,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testEdgeProperty,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_match_selectXbX_valuesXnameX,d5a906b0ba954f156d5bd9cac041d002b456976c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_V_out_localXout_out_valuesXnameX_foldX,68eff1dbdcca69fe74ba968ff6d30c5db0feeec3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
