"(Benchmark_method, commit)",Modify Method Annotation,Extract Variable,Change Parameter Type,Extract Method,Change Return Type,Parameterize Variable,Inline Variable,Add Method Annotation,Add Class Annotation,Remove Class Annotation,Modify Class Annotation,Change Attribute Type,Add Attribute Annotation,Move Method,Modify Parameter Annotation,Change Package,Move Class,Extract And Move Method,Add Parameter,Change Variable Type,Move Attribute,Inline Method,Pull Up Attribute,Extract Class,Modify Attribute Annotation,Remove Attribute Annotation,Remove Method Annotation,Pull Up Method,sum,delta
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,d720fea58a1dfe4405b0c6bda8826749b8594e2c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
