"(Benchmark_method, commit)",Change Attribute Type,Change Parameter Type,Change Variable Type,Add Method Annotation,Extract Method,Remove Method Annotation,Add Parameter,Modify Method Annotation,Inline Method,Extract Variable,Inline Variable,Change Return Type,Extract Superclass,Pull Up Method,Add Parameter Annotation,Remove Parameter,Remove Parameter Annotation,Move Method,Add Class Annotation,Replace Variable With Attribute,Move And Inline Method,Parameterize Variable,Reorder Parameter,Replace Attribute,Pull Up Attribute,Extract And Move Method,Move Class,Move Attribute,Remove Class Annotation,Extract Class,Extract Subclass,Push Down Method,Push Down Attribute,Add Attribute Annotation,Remove Variable Annotation,Remove Attribute Annotation,Move Source Folder,Extract Interface,Change Package,Merge Attribute,Modify Class Annotation,Merge Variable,Extract Attribute,Modify Attribute Annotation,Merge Parameter,Split Attribute,Add Variable Annotation,sum,delta
"(io.reactivex.OperatorMergePerf.mergeNAsyncStreamsOfN,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BinaryFlatMapPerf.maybeFlattenAsObservable,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.PublishProcessorPerf.subject1,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.XMapYPerf.flowFlatMapCompletable0,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.JustAsyncPerf.subscribeOnObservable,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BlockingPerf.flowableBlockingFirst,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.BlockingGetPerf.maybe,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.OperatorMergePerf.mergeNSyncStreamsOf1,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.ReducePerf.obsMaybe,b71a1d9fed6c9899acd35136c9b8f2362189e68d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
