"(Benchmark_method, commit)",Remove Method Annotation,Change Return Type,Move Method,Extract Variable,Inline Method,Change Parameter Type,Add Method Annotation,Move Class,Extract Method,Inline Variable,Add Parameter,Extract Superclass,Pull Up Attribute,Pull Up Method,Extract And Move Method,Extract Attribute,Change Attribute Type,Remove Parameter,Change Variable Type,Modify Attribute Annotation,Add Attribute Annotation,Merge Attribute,Modify Method Annotation,Move And Inline Method,Extract Class,Move Attribute,Move Source Folder,Add Class Annotation,Modify Class Annotation,Change Package,Replace Variable With Attribute,Remove Class Annotation,Remove Attribute Annotation,Merge Variable,Reorder Parameter,Parameterize Variable,Split Attribute,Extract Interface,Push Down Method,Remove Parameter Annotation,Add Parameter Annotation,sum,delta
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,12d92f611153d019c7b42421db95463c18d274d9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,12d92f611153d019c7b42421db95463c18d274d9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,6e8160c9cf884ad7dc317bed867ff0614f934399)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,6e8160c9cf884ad7dc317bed867ff0614f934399)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,6e8160c9cf884ad7dc317bed867ff0614f934399)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,6e8160c9cf884ad7dc317bed867ff0614f934399)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,50aa93c3c50ca6120a917a31880ec39ece69e41b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,50aa93c3c50ca6120a917a31880ec39ece69e41b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,50aa93c3c50ca6120a917a31880ec39ece69e41b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,50aa93c3c50ca6120a917a31880ec39ece69e41b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
