"(Benchmark_method, commit)",Extract Variable,Add Class Annotation,Remove Class Annotation,Remove Method Annotation,Change Variable Type,Add Method Annotation,Remove Parameter,Replace Variable With Attribute,Change Return Type,Extract Method,Change Attribute Type,Add Parameter,Change Package,Move Class,Extract Class,Move Method,Move Attribute,Add Attribute Annotation,Change Parameter Type,Move And Inline Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Attribute,Modify Class Annotation,Inline Method,Merge Parameter,Push Down Method,Extract Subclass,Push Down Attribute,Reorder Parameter,Add Parameter Annotation,Inline Variable,Modify Method Annotation,Merge Variable,Parameterize Variable,Extract And Move Method,Merge Attribute,Extract Interface,Remove Variable Annotation,Split Parameter,Split Variable,Remove Attribute Annotation,sum,delta
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithPlanarImageAndIPTCMetadata,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageReaderPerformance.testGetSize,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithPlanarImageAndEXIFMetadata,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageReaderPerformance.testReadRenderedWithArguments,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageWriterPerformance.testWriteWithBufferedImage,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.KakaduDemoProcessorPerformance.process,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.processWithBMP,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.readInfoWithTIF,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.TurboJpegProcessorPerformance.process,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageReaderPerformance.testReadRendered,b662e28a03e59fd9e4b1483eeac1e475dfac49b9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
