"(Benchmark_method, commit)",Extract Variable,Add Class Annotation,Remove Class Annotation,Remove Method Annotation,Change Variable Type,Add Method Annotation,Remove Parameter,Replace Variable With Attribute,Change Return Type,Extract Method,Change Attribute Type,Add Parameter,Change Package,Move Class,Extract Class,Move Method,Move Attribute,Add Attribute Annotation,Change Parameter Type,Move And Inline Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Attribute,Modify Class Annotation,Inline Method,Merge Parameter,Push Down Method,Extract Subclass,Push Down Attribute,Reorder Parameter,Add Parameter Annotation,Inline Variable,Modify Method Annotation,Merge Variable,Parameterize Variable,Extract And Move Method,Merge Attribute,Extract Interface,Remove Variable Annotation,Split Parameter,Split Variable,Remove Attribute Annotation,sum,delta
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readImageInfoWithMPG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageReaderPerformance.testReadWithArguments,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageReaderPerformance.testGetCompressionWithUncompressedImage,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testRead,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.processWithGIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageReaderPerformance.testGetMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithPlanarImage,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.processWithTIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.KakaduDemoProcessorPerformance.readImageInfo,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithBufferedImageAndXMPMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.processWithJPG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageReaderPerformance.testGetNumImages,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testGetSize,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.readImageInfoWithTIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.readImageInfoWithBMP,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testRead,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readImageInfoWithMOV,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageReaderPerformance.testGetNumImages,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.processWithGIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageWriterPerformance.testWriteWithBufferedImageAndMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.readImageInfoWithGIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testReadRenderedWithArguments,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageWriterPerformance.testWriteWithBufferedImageAndNativeMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testReadWithArguments,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.processWithTIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readImageInfoWithMP4,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageWriterPerformance.testWriteWithBufferedImageAndIptcMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageReaderPerformance.testRead,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testGetMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.processWithJPG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageWriterPerformance.testWriteWithPlanarImageAndNativeMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.readImageInfoWithPNG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testGetSize,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readImageInfoWithWebM,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageWriterPerformance.testWriteWithPlanarImageAndXMPMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.readImageInfoWithPNG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.readImageInfoWithTIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageReaderPerformance.testGetCompression,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.readImageInfoWithGIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.processWithPNG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.readImageInfoWithBMP,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readImageInfoWithAVI,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.KakaduNativeProcessorPerformance.readImageInfo,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testReadRendered,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.PdfBoxProcessorPerformance.readImageInfo,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.processWithWebM,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.processWithJPG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.processWithTIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.readImageInfoWithJPG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithBufferedImageAndIPTCMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageWriterPerformance.testWriteWithPlanarImageAndXmpMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.readImageInfoWithJPG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageReaderPerformance.testGetNumImages,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEG2000ImageReaderPerformance.testGetMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.GIFImageWriterPerformance.testWriteWithPlanarImageAndMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithPlanarImageAndXMPMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testGetMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.PNGImageWriterPerformance.testWriteWithBufferedImageAndXMPMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.OpenJpegProcessorPerformance.readImageInfo,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.readImageInfoWithBMP,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readImageInfoWithFLV,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.TIFFImageWriterPerformance.testWriteWithBufferedImage,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.readImageInfoWithGIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEG2000ImageReaderPerformance.testGetSize,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEG2000ImageReaderPerformance.testGetNumImages,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.JPEGImageWriterPerformance.testWriteWithPlanarImageAndIptcMetadata,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.codec.BMPImageReaderPerformance.testGetNumImages,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.GraphicsMagickProcessorPerformance.readImageInfoWithTIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.JaiProcessorPerformance.readImageInfoWithPNG,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.processor.ImageMagickProcessorPerformance.readImageInfoWithTIF,74b6060b268739efa563bb0250fd431eea6fac5a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageReaderPerformance.testGetCompressionWithUncompressedImage,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithPlanarImageAndEXIFMetadata,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithPlanarImageAndXMPMetadata,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithPlanarImage,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImageAndIPTCMetadata,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImageAndEXIFMetadata,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageReaderPerformance.testGetMetadata,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImage,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithPlanarImageAndIPTCMetadata,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageWriterPerformance.testWriteWithBufferedImageAndXMPMetadata,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(edu.illinois.library.cantaloupe.perf.TIFFImageReaderPerformance.testReadWithMonoResolutionImageAndNoScaleFactor,6a85d1e3fefa08faeab43ba9d4ed7ce21afef043)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
