"(Benchmark_method, commit)",Change Return Type,Modify Class Annotation,Extract Class,Move Method,Inline Variable,Change Parameter Type,Change Attribute Type,Modify Method Annotation,Move Attribute,Add Parameter,Extract And Move Method,Extract Attribute,Add Attribute Annotation,Change Package,Move Class,Add Class Annotation,Extract Superclass,Pull Up Method,Inline Method,Extract Method,Add Method Annotation,Change Variable Type,Pull Up Attribute,Extract Variable,Replace Variable With Attribute,Remove Method Annotation,Extract Interface,Remove Parameter,Move Source Folder,Parameterize Variable,Remove Class Annotation,Merge Parameter,Move And Inline Method,Modify Attribute Annotation,Remove Attribute Annotation,Replace Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Merge Variable,sum,delta
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerSchema,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactions,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.NoReasoningBenchmark.initialize,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoning,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoningMultipleTransactions,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingSchemaCachingRDFSInferencerBenchmark.initialize,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencer,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
