"(Benchmark_method, commit)",Remove Parameter,Inline Method,Add Parameter,Change Return Type,Change Variable Type,Change Attribute Type,Add Class Annotation,Move Class,Add Attribute Annotation,Inline Variable,Change Parameter Type,Move Attribute,Remove Class Annotation,Extract Class,Move Method,Extract Variable,Extract Method,Extract And Move Method,Add Method Annotation,Pull Up Attribute,Add Parameter Annotation,Remove Method Annotation,Merge Variable,Merge Parameter,Remove Attribute Annotation,Merge Attribute,Move And Inline Method,Parameterize Variable,Extract Attribute,Modify Class Annotation,Extract Subclass,Push Down Method,Push Down Attribute,Change Package,Modify Method Annotation,Split Attribute,Replace Variable With Attribute,Extract Superclass,Split Parameter,Move Source Folder,Pull Up Method,Modify Attribute Annotation,Reorder Parameter,Remove Parameter Annotation,Modify Parameter Annotation,Extract Interface,sum,delta
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,7ceb429723dd33607f2bdbd1e8dbd097ea9316a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,7ceb429723dd33607f2bdbd1e8dbd097ea9316a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,6619460e88a6f2008b39c449b0aaea7ba173055f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,6619460e88a6f2008b39c449b0aaea7ba173055f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,5ec4b508fd1d5758620fffd51e946e4c023d7d9b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,5ec4b508fd1d5758620fffd51e946e4c023d7d9b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,ea2f4f1c1429074e6022ef9c8923737eeadfa119)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,ea2f4f1c1429074e6022ef9c8923737eeadfa119)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,53fee4b5d25464d1e31fd2fecaf0e850b96c7cbb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,53fee4b5d25464d1e31fd2fecaf0e850b96c7cbb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
