"(Benchmark_method, commit)",Add Parameter,Extract Variable,Extract Class,Move Method,Remove Parameter,Remove Method Annotation,Extract And Move Method,Extract Superclass,Move Class,Add Method Annotation,Change Attribute Type,Change Parameter Type,Change Variable Type,Change Return Type,Replace Variable With Attribute,Merge Parameter,Pull Up Attribute,Pull Up Method,Add Class Annotation,Remove Class Annotation,Move Source Folder,Move Attribute,Inline Variable,Extract Method,Add Attribute Annotation,Modify Class Annotation,Move And Inline Method,Push Down Method,sum,delta
"(org.objenesis.benchmark.ConcurrentGetInstantiator.single,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.std,cb6689d406c9464a59be7907388c186180829f79)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.cachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRawAndCast,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.custom,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.ConcurrentGetInstantiator.uncachedStd,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructor,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithUnsafe,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.objenesis.benchmark.CreateObject.createObjectWithMungedConstructorRaw,220161bfeec32e59ec09a17fc172a397fdc4e146)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
