"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Extract Variable,Add Parameter,Extract Method,Add Class Annotation,Add Attribute Annotation,Add Method Annotation,Replace Variable With Attribute,Move Method,Modify Attribute Annotation,Change Return Type,Change Attribute Type,Remove Method Annotation,Parameterize Variable,Remove Parameter,Push Down Method,Move Class,Extract Superclass,Inline Method,Extract And Move Method,Pull Up Attribute,Pull Up Method,Move Source Folder,Modify Class Annotation,Remove Attribute Annotation,Remove Class Annotation,Change Package,Modify Method Annotation,Inline Variable,Move Attribute,Extract Attribute,Extract Interface,Extract Class,Merge Attribute,Modify Parameter Annotation,Move And Inline Method,Reorder Parameter,Push Down Attribute,Merge Variable,Extract Subclass,Add Parameter Annotation,Remove Parameter Annotation,Merge Parameter,Split Parameter,Split Attribute,Add Variable Annotation,Replace Attribute,Split Variable,sum,delta
"(org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionStringToChar,305e4b65a1476257ee11478dbe98ecefed8e86a6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionStringToURI,305e4b65a1476257ee11478dbe98ecefed8e86a6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.converter.ConverterBenchmarkTest.benchmarkLoadTime,305e4b65a1476257ee11478dbe98ecefed8e86a6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.converter.ConverterBenchmarkTest.benchmarkConversionIntToLong,305e4b65a1476257ee11478dbe98ecefed8e86a6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertTheSameTypes,482cf923bc47d2b1e025dfd109fb28ce40ec1af6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertByteArrayToString,482cf923bc47d2b1e025dfd109fb28ce40ec1af6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertInputStreamToString,482cf923bc47d2b1e025dfd109fb28ce40ec1af6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.SimpleMockTest.simpleMockTest,482cf923bc47d2b1e025dfd109fb28ce40ec1af6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.LoadTypeConvertersTest.notLoad,482cf923bc47d2b1e025dfd109fb28ce40ec1af6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.camel.itest.jmh.TypeConverterTest.typeConvertStringToDocument,482cf923bc47d2b1e025dfd109fb28ce40ec1af6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
