"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Add Parameter,Change Attribute Type,Add Method Annotation,Extract Method,Move Method,Change Return Type,Merge Variable,Move Class,Inline Method,Parameterize Variable,Extract Variable,Extract Class,Remove Method Annotation,Move Attribute,Add Class Annotation,Extract And Move Method,Change Package,Pull Up Method,Remove Parameter,Inline Variable,Push Down Method,Move And Inline Method,Modify Method Annotation,Extract Superclass,Split Attribute,Pull Up Attribute,Extract Attribute,Add Parameter Annotation,Merge Parameter,Remove Class Annotation,Remove Parameter Annotation,Merge Attribute,Replace Variable With Attribute,Modify Class Annotation,Remove Attribute Annotation,Add Attribute Annotation,Split Variable,Extract Interface,Reorder Parameter,Extract Subclass,Push Down Attribute,Modify Attribute Annotation,Move Source Folder,Remove Variable Annotation,Split Parameter,Replace Attribute,Modify Parameter Annotation,Add Variable Annotation,Modify Variable Annotation,sum,delta
"(io.netty.buffer.AbstractReferenceCountedByteBufBenchmark.retainReleaseUncontended,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.httpIterate,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.decodeStringAscii,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.httpAddAllFast,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SwappedByteBufBenchmark.unsafeSwappedByteBufSetLong,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.internal.PrivilegedSocketOperationsBenchmark.testWithSM,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http2.HpackUtilBenchmark.newEquals,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http2.HpackDecoderULE128Benchmark.decodeMaxInt,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufAllocatorConcurrentBenchmark.allocateRelease,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufBenchmark.setByteBufDirect,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SwappedByteBufBenchmark.swappedByteBufSetInt,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.internal.PrivilegedSocketOperationsBenchmark.testWithoutSMWithNullCheck,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.redis.RedisEncoderBenchmark.writeArray,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.IsValidIpV6Benchmark.isValidIpV6AddressNew,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.internal.UnitializedArrayBenchmark.allocateInitializedByteArray,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.HttpMethodMapBenchmark.oldMapUnknownMethods,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.NetUtilBenchmark.useIsValidIpv6,b3e6e413849076899a9e60e43ce771b1d6cc4bb6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
