"(Benchmark_method, commit)",Add Method Annotation,Add Parameter,Extract Method,Remove Method Annotation,Change Variable Type,Pull Up Method,Extract Variable,Change Attribute Type,Change Return Type,Change Parameter Type,Inline Variable,Remove Parameter,Move Attribute,Extract Attribute,Extract And Move Method,Move Class,Parameterize Variable,Extract Subclass,Push Down Attribute,Push Down Method,Inline Method,Move Source Folder,Move Method,Remove Parameter Annotation,Move And Inline Method,Extract Superclass,Modify Method Annotation,Pull Up Attribute,Replace Variable With Attribute,Merge Parameter,Add Class Annotation,Extract Class,Add Parameter Annotation,Split Attribute,Reorder Parameter,Change Package,Merge Attribute,Split Parameter,Remove Attribute Annotation,Remove Class Annotation,Add Attribute Annotation,Split Variable,Modify Class Annotation,Merge Variable,Extract Interface,Remove Variable Annotation,Add Variable Annotation,Modify Attribute Annotation,Replace Attribute,Modify Variable Annotation,sum,delta
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_08,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeRoundingDateTimeUnitJava,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.fs.AvailableIndexFoldersBenchmark.availableIndexFolderNaive,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeRoundingDateTimeUnitJoda,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.singleBucketIntoSingleImmutableBimorphicInvocation,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeRoundingDateTimeUnitDayOfMonthJava,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.routing.allocation.AllocationBenchmark.measureAllocation,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcMonthOfYearJava,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.DateFormatterFromBenchmark.benchmarkFrom,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_32,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.StringTermsSerializationBenchmark.serialize,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeRoundingDateTimeUnitDayOfMonthJoda,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_02,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.multiBucket,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.TermsReduceBenchmark.reduceAggs,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcYearOfCenturyJava,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_04,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeIntervalRoundingJoda,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.singleBucketIntoMulti,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcMonthOfYearJoda,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcQuarterOfYearJoda,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_16,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.common.RoundingBenchmark.nextRoundingValue,60e5199aff85ce9ab76867546848b7e7669fba84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeUnitRoundingUtcDayOfMonthJoda,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.search.aggregations.bucket.terms.LongKeyedBucketOrdsBenchmark.singleBucketIntoSingleImmutableMonmorphicInvocation,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_01,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.DateFormatterBenchmark.parseJavaDate,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.getMemoryStats_64,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.time.RoundingBenchmark.timeIntervalRoundingJava,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.fs.AvailableIndexFoldersBenchmark.availableIndexFolderOptimized,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.elasticsearch.benchmark.indices.breaker.MemoryStatsBenchmark.baseline,2fa6448a15b9c65a6797c4f945a29b518ef499f3)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
