"(Benchmark_method, commit)",Change Parameter Type,Change Return Type,Change Attribute Type,Change Variable Type,Extract Interface,Pull Up Method,Move Method,Extract And Move Method,Extract Method,Move Attribute,Inline Method,Extract Class,Replace Variable With Attribute,Extract Attribute,Move Source Folder,Inline Variable,Extract Variable,Merge Parameter,Parameterize Variable,Move Class,Change Package,Pull Up Attribute,Extract Superclass,Replace Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Merge Variable,sum,delta
"(org.eclipse.rdf4j.benchmark.ForwardChainingRDFSInferencerBenchmark.initialize,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingRDFSInferencerMultipleTransactions,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ForwardChainingSchemaCachingRDFSInferencerBenchmark.initialize,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAll,011213b311bd66355dfa66c2fc759be45563c779)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencer,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactionsSchema,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.NoReasoningBenchmark.initialize,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.noReasoning,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.eclipse.rdf4j.benchmark.ReasoningBenchmark.forwardChainingSchemaCachingRDFSInferencerMultipleTransactions,f92b0cd6a37cf82cb88d8524249f7e1937d3c261)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
