"(Benchmark_method, commit)",Change Package,Move Class,Change Attribute Type,Change Parameter Type,Change Variable Type,Move Source Folder,Extract Variable,Extract Method,Inline Method,Move Attribute,Extract And Move Method,Replace Variable With Attribute,Change Return Type,Parameterize Variable,Merge Parameter,Extract Subclass,Push Down Method,Push Down Attribute,Inline Variable,Extract Superclass,Extract Class,Pull Up Attribute,Pull Up Method,Move Method,Extract Interface,Split Attribute,Extract Attribute,Merge Variable,Split Parameter,Merge Attribute,Replace Attribute,Split Variable,sum,delta
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setWithValueHolder,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ArrowBufPointerBenchmarks.compareBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setIntDirectly,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.AvroAdapterBenchmarks.testAvroToArrow,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.JdbcAdapterBenchmarks.testJdbcToArrow,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.FloatingPointBenchmarks.approxEqualsBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.arrowBufEquals,497163f48317ad8f3139b66c87a432391d039213)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.util.ByteFunctionHelpersBenchmarks.equals,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,ff8c63b23aacd51170dd52697806fa8343ee4cfb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.equals,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,24bc7e0231ea2c7a7e36d357a9754e872d45d238)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.equals,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,2ffb7f825250b02a7aa65baa2271f74db0a31a48)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setWithWriter,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.copyFromBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setWithValueHolder,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.allBitsNullBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ArrowBufPointerBenchmarks.compareBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setIntDirectly,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.equals,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianByteArrayBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.AvroAdapterBenchmarks.testAvroToArrow,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.adapter.JdbcAdapterBenchmarks.testJdbcToArrow,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.dictionary.DictionaryEncoderBenchmarks.testEncode,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(org.apache.arrow.vector.FloatingPointBenchmarks.approxEqualsBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VarCharBenchmarks.copyFromBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BitVectorHelperBenchmarks.getNullCountBenchmark,0c4ec7bddc1ae24d47cd696fc0455580faf8ad00)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,24fe0bce3c77506525b7c7f06d25485f26da31a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,24fe0bce3c77506525b7c7f06d25485f26da31a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,24fe0bce3c77506525b7c7f06d25485f26da31a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ArrowBufBenchmarks.setZero,8a5cd3467cc370e8a9fbcc29cd524a4f466f3e95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.BaseValueVectorBenchmarks.testComputeCombinedBufferSize,8a5cd3467cc370e8a9fbcc29cd524a4f466f3e95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.segmentRoundingPolicyBenchmark,8a5cd3467cc370e8a9fbcc29cd524a4f466f3e95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.AllocatorBenchmarks.defaultAllocatorBenchmark,8a5cd3467cc370e8a9fbcc29cd524a4f466f3e95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLength,8a5cd3467cc370e8a9fbcc29cd524a4f466f3e95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.VariableWidthVectorBenchmarks.getValueCapacity,8a5cd3467cc370e8a9fbcc29cd524a4f466f3e95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.Float8Benchmarks.readWriteBenchmark,8a5cd3467cc370e8a9fbcc29cd524a4f466f3e95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.DecimalVectorBenchmarks.setBigEndianArrowBufBenchmark,157b179812adb8f29e5966682ff1937f85ce192a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setWithWriter,157b179812adb8f29e5966682ff1937f85ce192a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.vector.IntBenchmarks.setIntDirectly,157b179812adb8f29e5966682ff1937f85ce192a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.arrow.memory.util.ByteFunctionHelpersBenchmarks.equals,157b179812adb8f29e5966682ff1937f85ce192a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
