"(Benchmark_method, commit)",Change Return Type,Extract Variable,Extract Method,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract And Move Method,Extract Interface,Inline Variable,Inline Method,Move Class,Parameterize Variable,Merge Attribute,Move Attribute,Extract Class,Replace Variable With Attribute,Move Method,Extract Superclass,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Change Package,Split Attribute,Move Source Folder,Pull Up Attribute,Pull Up Method,Extract Attribute,Split Parameter,Merge Parameter,Split Variable,sum,delta
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethod,7552995ae9a34ebef69a8a336b529b3095252058)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.DiscriminatorBenchmark.testWithDiscriminatorWithPartialKeys,7552995ae9a34ebef69a8a336b529b3095252058)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileInputStream,7552995ae9a34ebef69a8a336b529b3095252058)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandlerExact,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.DiscriminatorBenchmark.testWithDiscriminatorWithKeys,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parsePipeQuote,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.reader,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStoreGetBenchmark.testKeyObjectStore,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parse,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFiles,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStoreGetBenchmark.testMap,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parseTrim,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethod,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.DiscriminatorBenchmark.testNoDiscriminator,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.intputStreamBytes,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.UnescapeBenchmark.unescape,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStorePutBenchmark.testKeyObjectStore,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandler,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethodHandlerField,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testAsm,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testInputStreamReaderFromChannelInputStream,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.memoryMappedFileBytes,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethodHandlerExact,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkRead.testByteBufferRead,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkWrite.testBytesRead,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parseQuote,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parsePipe,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethodHandler,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testAsm,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testDirect,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testField,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.memoryMappedFile,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.fileChannelBytes,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkWrite.testByteBufferRead,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.MapperCacheBenchmark.testGet,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testField,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.DiscriminatorBenchmark.testWithDiscriminator,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkRead.testBytesRead,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandlerField,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStorePutBenchmark.testMap,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testDirect,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethod,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.DiscriminatorBenchmark.testWithDiscriminatorWithPartialKeys,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileInputStream,84ab1a52f3ee0ee2f99cadf616a89a75cb97460f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandlerExact,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parsePipeQuote,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.reader,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStoreGetBenchmark.testKeyObjectStore,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parse,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFiles,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStoreGetBenchmark.testMap,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parseTrim,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannelViaRandomFile,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethod,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.intputStreamBytes,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.UnescapeBenchmark.unescape,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStorePutBenchmark.testKeyObjectStore,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandler,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethodHandlerField,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testAsm,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testInputStreamReaderFromChannelInputStream,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.memoryMappedFileBytes,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethodHandlerExact,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkRead.testByteBufferRead,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkWrite.testBytesRead,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parseQuote,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parsePipe,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethodHandler,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testAsm,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testDirect,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testField,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.memoryMappedFile,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.fileChannelBytes,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkWrite.testByteBufferRead,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.MapperCacheBenchmark.testGet,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testField,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileChannel,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.utils.UUIDBenchMarkRead.testBytesRead,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandlerField,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStorePutBenchmark.testMap,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testDirect,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannel,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterStringBenchmark.testMethod,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileInputStream,2461b3a14e39d33c7c007d7b5a6f807ee587d896)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.reflect.GetterIntBenchmark.testMethodHandlerExact,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFiles,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parsePipeQuote,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.io.CharReadingBenchmark.reader,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStoreGetBenchmark.testKeyObjectStore,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parse,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.InputStreamBenchmark.testFileInputStream,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFiles,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.map.KeyObjectStoreGetBenchmark.testMap,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.CsvParserBenchmark.parseTrim,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.simpleflatmapper.csv.io.ReaderBenchmark.testFileChannelViaRandomFile,18f33e58ea170e3f3e083762b30eac5da8ed7ccd)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
