"(Benchmark_method, commit)",Move Class,Extract Method,Change Return Type,Change Attribute Type,Change Variable Type,Extract Superclass,Extract Class,Pull Up Method,Move Method,Inline Method,Extract Variable,Move Source Folder,Change Parameter Type,Pull Up Attribute,Extract And Move Method,Inline Variable,Change Package,Move Attribute,Parameterize Variable,Extract Subclass,Push Down Method,Extract Attribute,Push Down Attribute,Replace Variable With Attribute,Split Variable,Replace Attribute,Extract Interface,Split Parameter,Merge Attribute,Merge Parameter,sum,delta
"(co.elastic.apm.benchmark.reporter.HttpCborJacksonReporterBenchmark.sendPayload,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpDslJsonReporterContinuousBenchmark.testReport,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpNoopJsonReporterBenchmark.testReport,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.NoopReporterBenchmark.sendPayload,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpJacksonReporterBenchmark.testReport,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpDslJsonReporterContinuousBenchmark.sendPayload,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpJacksonReporterBenchmark.testSerialization,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactory,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactoryRecycling,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpCborJacksonReporterBenchmark.testReport,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpJacksonReporterBenchmark.sendPayload,1154658477dc4157b5a08f4cea132ee49d92055e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseLongQuery,8aaaf6a87be4dd5c172004f309e0f8ddd1f8474a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.consumeCpu,8aaaf6a87be4dd5c172004f309e0f8ddd1f8474a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,8aaaf6a87be4dd5c172004f309e0f8ddd1f8474a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseShortQuery,8aaaf6a87be4dd5c172004f309e0f8ddd1f8474a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,8aaaf6a87be4dd5c172004f309e0f8ddd1f8474a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,8aaaf6a87be4dd5c172004f309e0f8ddd1f8474a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,8aaaf6a87be4dd5c172004f309e0f8ddd1f8474a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testNewOperator,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.testSerialization,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.NoopReporterBenchmark.sendPayload,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.testReport,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.testReport,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.sendPayload,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.testSerialization,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.testSerialization,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.sendPayload,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactoryRecycling,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.testReport,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactory,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.sendPayload,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testRingBufferObjectPool,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.NoopReporterBenchmark.testReport,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.testSerialization,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.testReport,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testThreadLocalObjectPool,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.sendPayload,86ff506c6a98471d7ffe108faa2bbbde4e611570)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseLongQuery,876483e9318d43d8ca85ed4ec3b1019bcac44735)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.consumeCpu,876483e9318d43d8ca85ed4ec3b1019bcac44735)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,876483e9318d43d8ca85ed4ec3b1019bcac44735)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseShortQuery,876483e9318d43d8ca85ed4ec3b1019bcac44735)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,876483e9318d43d8ca85ed4ec3b1019bcac44735)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,876483e9318d43d8ca85ed4ec3b1019bcac44735)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,876483e9318d43d8ca85ed4ec3b1019bcac44735)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseLongQuery,38e92dcea93852eeed2cf800ed97718fd8f2273f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.consumeCpu,38e92dcea93852eeed2cf800ed97718fd8f2273f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,38e92dcea93852eeed2cf800ed97718fd8f2273f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseShortQuery,38e92dcea93852eeed2cf800ed97718fd8f2273f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,38e92dcea93852eeed2cf800ed97718fd8f2273f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,38e92dcea93852eeed2cf800ed97718fd8f2273f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,38e92dcea93852eeed2cf800ed97718fd8f2273f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.NoopReporterBenchmark.sendPayload,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.HttpNoopJsonReporterBenchmark.sendPayload,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.HttpMoshiReporterBenchmark.testReport,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.ObjectPoolBenchmark.testNewOperator,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.HttpNoopJsonReporterBenchmark.testReport,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.ObjectPoolBenchmark.testThreadLocalObjectPool,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.HttpJacksonReporterBenchmark.sendPayload,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.HttpMoshiReporterBenchmark.sendPayload,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.HttpJacksonReporterBenchmark.testReport,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.ObjectPoolBenchmark.testRingBufferObjectPool,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.reporter.NoopReporterBenchmark.testReport,582851462801f086992e0e8932ecb97b4e144475)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseLongQuery,113167e11243dc72917ca863982123c4d715da1f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.consumeCpu,113167e11243dc72917ca863982123c4d715da1f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,113167e11243dc72917ca863982123c4d715da1f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.sql.SignatureParserBenchmark.parseShortQuery,113167e11243dc72917ca863982123c4d715da1f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,113167e11243dc72917ca863982123c4d715da1f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,113167e11243dc72917ca863982123c4d715da1f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,113167e11243dc72917ca863982123c4d715da1f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(co.elastic.apm.agent.benchmark.ElasticApmActiveContinuousBenchmark.benchmarkWithApm,75b50b1c90a44967dff6c1faea3631747528163a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,75b50b1c90a44967dff6c1faea3631747528163a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,75b50b1c90a44967dff6c1faea3631747528163a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.agent.benchmark.ElasticApmNotActiveContinuousBenchmark.benchmarkWithoutApm,75b50b1c90a44967dff6c1faea3631747528163a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testNewOperator,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.testSerialization,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.NoopReporterBenchmark.sendPayload,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.testReport,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.testReport,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.sendPayload,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.testSerialization,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpVanillaJacksonReporterBenchmark.testSerialization,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.sendPayload,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactoryRecycling,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.testReport,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.stacktrace.StackTraceFactoryBenchmark.testCurrentThreadStackTraceFactory,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpMoshiReporterBenchmark.sendPayload,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testRingBufferObjectPool,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.NoopReporterBenchmark.testReport,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.testSerialization,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpNoopJsonReporterBenchmark.testReport,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.ObjectPoolBenchmark.testThreadLocalObjectPool,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.impl.HttpCborJacksonReporterBenchmark.sendPayload,25eb0dd6c72ea07d7491894d90ef506dda3b98a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpNoopJsonReporterBenchmark.sendPayload,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpCborJacksonReporterBenchmark.testSerialization,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsAtomicQueueObjectPool,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.NoopReporterBenchmark.testReport,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.objectpool.ObjectPoolBenchmark.testJctoolsQueueObjectPool,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpNoopJsonReporterBenchmark.testSerialization,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpDslJsonReporterContinuousBenchmark.testSerialization,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpCborJacksonReporterBenchmark.sendPayload,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(co.elastic.apm.benchmark.reporter.HttpDslJsonReporterContinuousBenchmark.testReport,f7fa06aa87076668fa45c205657b2a93c95f9515)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
