"(Benchmark_method, commit)",Move Class,Extract Attribute,Extract Variable,Extract Method,Inline Method,Extract And Move Method,Change Variable Type,Change Return Type,Merge Attribute,Change Attribute Type,Inline Variable,Extract Class,Move Method,Move Attribute,Move Source Folder,Change Parameter Type,Change Package,Extract Superclass,Pull Up Method,Merge Variable,Push Down Method,Parameterize Variable,Split Attribute,Pull Up Attribute,Replace Variable With Attribute,Extract Interface,sum,delta
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,3fcc70f32aa1cefe0bbaf9a1d3e16c1001aacff1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,3fcc70f32aa1cefe0bbaf9a1d3e16c1001aacff1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,3fcc70f32aa1cefe0bbaf9a1d3e16c1001aacff1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,3fcc70f32aa1cefe0bbaf9a1d3e16c1001aacff1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,8f39a00cae80d7b8941fed7b51a6b4d16d2e2fed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,8f39a00cae80d7b8941fed7b51a6b4d16d2e2fed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,8f39a00cae80d7b8941fed7b51a6b4d16d2e2fed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,8f39a00cae80d7b8941fed7b51a6b4d16d2e2fed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,7742a5326dba24467ded32be5d5fbf8600f26837)",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,7742a5326dba24467ded32be5d5fbf8600f26837)",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,7742a5326dba24467ded32be5d5fbf8600f26837)",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,7742a5326dba24467ded32be5d5fbf8600f26837)",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,d9f4fed851ee97a6ac09e968eaf5c520c4fd2ade)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,d9f4fed851ee97a6ac09e968eaf5c520c4fd2ade)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,d9f4fed851ee97a6ac09e968eaf5c520c4fd2ade)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,d9f4fed851ee97a6ac09e968eaf5c520c4fd2ade)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJsonComp,8643af294ba19b73ad9286d1856b0a4ddc1b9ea7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJsonComp,8643af294ba19b73ad9286d1856b0a4ddc1b9ea7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark_jackson.testParseJson,8643af294ba19b73ad9286d1856b0a4ddc1b9ea7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(com.alibaba.json.test.benchmark.jdk10.StringBenchmark.testParseJson,8643af294ba19b73ad9286d1856b0a4ddc1b9ea7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
