"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Variable Type,Change Attribute Type,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Attribute,Move Attribute,Extract And Move Method,Extract Class,Extract Variable,Inline Variable,Replace Variable With Attribute,Move Class,Change Parameter Type,Change Package,Move Source Folder,Move Method,Extract Subclass,Push Down Method,Inline Method,sum,delta
"(org.apache.bcel.BCELBenchmark.generator,a1e4f67e9d5480de3d725295f562e98f6c45d79e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,a1e4f67e9d5480de3d725295f562e98f6c45d79e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,a1e4f67e9d5480de3d725295f562e98f6c45d79e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.generator,efe37ea42940ffbb7f6e10bf596e629a6c03bc87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,efe37ea42940ffbb7f6e10bf596e629a6c03bc87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,efe37ea42940ffbb7f6e10bf596e629a6c03bc87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,ae887bde4df5b1f61ff418635a51925d2d94aacc)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.bcel.BCELBenchmark.baseline,ae887bde4df5b1f61ff418635a51925d2d94aacc)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,ae887bde4df5b1f61ff418635a51925d2d94aacc)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.commons.bcel6.BCELBenchmark.generator,25aeeeff73ce086ce4fb7d2e108b981f445d3b28)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,
"(org.apache.commons.bcel6.BCELBenchmark.baseline,25aeeeff73ce086ce4fb7d2e108b981f445d3b28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.bcel6.BCELBenchmark.parser,25aeeeff73ce086ce4fb7d2e108b981f445d3b28)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,
"(org.apache.bcel.BCELBenchmark.generator,d522432b79044740831a132d8b92e7dab5477444)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,53,
"(org.apache.bcel.BCELBenchmark.baseline,d522432b79044740831a132d8b92e7dab5477444)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,d522432b79044740831a132d8b92e7dab5477444)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,
"(org.apache.bcel.BCELBenchmark.generator,bf30b1f2af61a37d8e1215e1af6022ede913dc2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.baseline,bf30b1f2af61a37d8e1215e1af6022ede913dc2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,bf30b1f2af61a37d8e1215e1af6022ede913dc2d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,c96a3e5a40040ef43e0a51935a368458763d3424)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(org.apache.bcel.BCELBenchmark.baseline,c96a3e5a40040ef43e0a51935a368458763d3424)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.parser,c96a3e5a40040ef43e0a51935a368458763d3424)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.bcel.BCELBenchmark.generator,964c0c8fd6abdb4c32c050db3f129edef7232cbe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
