"(Benchmark_method, commit)",Change Return Type,Extract And Move Method,Extract Method,Inline Method,Change Attribute Type,Move Method,Change Package,Move Class,Extract Attribute,Change Parameter Type,Change Variable Type,Extract Class,Inline Variable,Extract Variable,Move Attribute,Merge Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Move Source Folder,Replace Variable With Attribute,sum,delta
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,4a6af4590838e8804290464a8d88a837acb2fa08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,4a6af4590838e8804290464a8d88a837acb2fa08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,4a6af4590838e8804290464a8d88a837acb2fa08)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,9afec3ed39d954ae2ad927ee73445a9ee5163d07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,9daee9042c931382219ba268c2ed79e8c6a740da)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,9ab47dc56b43066be740488948d38032df636502)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,7e471527915cb0c73316c598fd02b71a56f2cf43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseJavaCSV,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.read,86ef75f808306d4dbbc63d900ec73dfa5ff74cad)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSuperCSV,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseCommonsCSV,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseSkifeCSV,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.split,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseGenJavaCSV,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.csv.CSVBenchmark.parseOpenCSV,865872e0f1517796f4b203ff7682d922119514fa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
