"(Benchmark_method, commit)",Change Parameter Type,Change Variable Type,Move Attribute,Move Method,Extract And Move Method,Change Attribute Type,Extract Method,Parameterize Variable,Inline Method,Change Return Type,Split Attribute,Replace Variable With Attribute,Extract Interface,Inline Variable,Extract Variable,Move Source Folder,Move Class,Extract Class,Push Down Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Merge Variable,Change Package,sum,delta
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,fe288b16baaabca43d0503a7a558696b1013cea6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,42e251a452220f62e287712fd60445549811d6a9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawConcurrentRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.roundtripCompressed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawAtomicRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawSynchroniedRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.recorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.rawRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterRecorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.singleWriterDoubleRecorderRecordingSpeed,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.skinnyEncodeIntoCompressedByteBuffer,e1c1d608fc185fac1f7c42412f4321cacb7993cb)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(bench.HdrHistogramRecordingBench.doubleRecorderRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(bench.HdrHistogramRecordingBench.rawDoubleRecordingSpeed,cb59fd8e61c05e25cad83c7b727c941a8273d4d1)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
