"(Benchmark_method, commit)",Extract Method,Extract Variable,Change Return Type,Inline Variable,Change Attribute Type,Move Method,Change Package,Move Class,Extract And Move Method,Change Variable Type,Parameterize Variable,Move Attribute,Change Parameter Type,Inline Method,Pull Up Attribute,Extract Class,Pull Up Method,sum,delta
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,b49b8a9fda742ac263357c08478f2b9f7cef2106)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,c3dc1f2506108761414309210c3a98e775e331a4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,fcde9554d759c397775298c64f99c0c169c8111b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
