"(Benchmark_method, commit)",Extract Method,Extract Variable,Change Return Type,Inline Variable,Change Attribute Type,Move Method,Change Package,Move Class,Extract And Move Method,Change Variable Type,Parameterize Variable,Move Attribute,Change Parameter Type,Inline Method,Pull Up Attribute,Extract Class,Pull Up Method,sum,delta
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,f1cefe6384d35216af98913761003738b5b5a38a)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeDecBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsSetBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeSetBenchmark,fc2bfaf21eb7740525e0d9c0d1054110e23406c2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildSetBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryChildBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildDecBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleMeterMarkBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.codahaleHistogramBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSummaryChildBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryNoLabelsBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.codahaleCounterDecBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.codahaleCounterIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeSetBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeDecBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleSummaryBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterNoLabelsIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.CounterBenchmark.prometheusSimpleCounterChildIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildIncBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramNoLabelsBenchmark,ba220f75c8d4ced25b4a18cbb92abb61e6fc626e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
