"(Benchmark_method, commit)",Change Return Type,Change Parameter Type,Push Down Method,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract Method,Extract Variable,Inline Variable,Change Attribute Type,Extract Class,Move Method,Change Variable Type,Extract And Move Method,Move Class,Extract Interface,Move Attribute,Inline Method,Change Package,Parameterize Variable,Move Source Folder,Extract Attribute,Push Down Attribute,Extract Subclass,Replace Variable With Attribute,Merge Parameter,sum,delta
"(org.jctools.jmh.latency.spsc.RingBurstRoundTripWithGroups.ring,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.tenMixedArgsBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.IntrusiveQueueThroughputBackoffNone.tpt,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArg,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.unalignedPrimitiveArgsBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.QueueThroughputBackoffNano.tpt,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.QueueThroughputBackoffYield.tpt,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgs,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.oneObjectArgBaseline,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.jmh.throughput.MpqThroughputBackoffNone.bothr,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.jctools.channels.mpsc.MpscProxyChannelBenchmark.noArgs,cff1522ebc8e91fcf31a39b8509b7b2fd7d064c7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
