"(Benchmark_method, commit)",Change Attribute Type,Extract Method,Extract Superclass,Extract Variable,Change Variable Type,Change Parameter Type,Change Return Type,Pull Up Method,Extract Class,Move Attribute,Pull Up Attribute,Inline Method,Inline Variable,Move Source Folder,Move Class,Replace Variable With Attribute,Move Method,Extract Interface,Push Down Attribute,Push Down Method,Parameterize Variable,Extract And Move Method,Replace Attribute,Extract Subclass,Extract Attribute,Change Package,sum,delta
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,07cfa0184dbfe73ab8f54090d5f931fd5d5b60a7)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,4ab1dd0daed045c95763d936c4ad9fb7670d25ce)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,17a37ad633c82f25ac2fa623fed7bceec3cbd66f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.baseline,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.builtInSerializer,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_serialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.generated_deserialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_serialize_10_int_fields,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.StringSerializerBenchmark.bufferedRecycledSerializer,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_1_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_deserialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_deserialize_10_int_field,b34e85433176a7df5ea219e3da73870e9891d5ec)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
