"(Benchmark_method, commit)",Change Return Type,Change Variable Type,Extract Method,Change Parameter Type,Move Attribute,Change Attribute Type,Extract Variable,Move Class,Extract Interface,Inline Variable,Move Method,Extract Class,Parameterize Variable,Inline Method,Extract Superclass,Pull Up Method,Merge Parameter,Change Package,Extract And Move Method,Pull Up Attribute,Merge Variable,Replace Variable With Attribute,Extract Attribute,Move Source Folder,Extract Subclass,Push Down Method,Push Down Attribute,Merge Attribute,Split Parameter,Split Variable,Split Attribute,sum,delta
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,2b160b85eef32f5849fbd5dbcd523e9291be80ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testLinear,2b160b85eef32f5849fbd5dbcd523e9291be80ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testPandaOperation,2b160b85eef32f5849fbd5dbcd523e9291be80ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.ExpressionBenchmark.testParser,2b160b85eef32f5849fbd5dbcd523e9291be80ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulPanda,2b160b85eef32f5849fbd5dbcd523e9291be80ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.MatmulPerformanceTest.benchmarkMatmulJava,2b160b85eef32f5849fbd5dbcd523e9291be80ea)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.interpreter.parser.implementation.general.expression.ExpressionBenchmark.testParser,a7dbe67d11170d3b1e2fec48011eed1242b21ee9)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.language.resource.expression.subparsers.OperationExpressionBenchmark.testJavaOperation,6271de1ef56c89298bbb687a0ab62a64bdc046ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.framework.design.interpreter.pattern.LinearPatternVsDescriptiveBenchmark.testDescriptive,6271de1ef56c89298bbb687a0ab62a64bdc046ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.panda_lang.panda.examples.performance.matmul.MatmulPerformanceTest.benchmarkMatmulPanda,6271de1ef56c89298bbb687a0ab62a64bdc046ef)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
