"(Benchmark_method, commit)",Extract Method,Inline Method,Change Attribute Type,Change Variable Type,Change Return Type,Change Parameter Type,Move Attribute,Move Class,Split Attribute,Extract Class,Move Method,Extract Variable,Pull Up Method,Extract And Move Method,Merge Parameter,Extract Superclass,Inline Variable,Move Source Folder,Change Package,Extract Subclass,Push Down Method,Push Down Attribute,Merge Variable,Parameterize Variable,Extract Attribute,Replace Variable With Attribute,Merge Attribute,Extract Interface,Pull Up Attribute,Replace Attribute,sum,delta
"(zipkin2.codec.CodecBenchmarks.writeClientSpan_proto3,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.SpanBenchmarks.buildClientSpan_clear,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.writeVarint_64,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.codec.CodecBenchmarks.writeChineseSpan_json,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(zipkin2.EndpointBenchmarks.parseIpv6_literal,f9039a4e8cb48de60eb6bc3423c61bd1a9adfe89)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
