"(Benchmark_method, commit)",Change Parameter Type,Extract Class,Move Attribute,Extract And Move Method,Extract Method,Move Class,Extract Superclass,Move Method,Extract Variable,Inline Method,Change Return Type,Change Attribute Type,Change Variable Type,Inline Variable,Pull Up Attribute,Push Down Method,Parameterize Variable,Pull Up Method,Replace Variable With Attribute,Extract Interface,Extract Subclass,Push Down Attribute,Change Package,Extract Attribute,Merge Parameter,Merge Attribute,Merge Variable,Split Parameter,Split Attribute,Replace Attribute,Move Source Folder,Split Variable,sum,delta
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMatch,14d554f8d6eecef7a4eca8e5b0305cc54b75128b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.executeFromIONoChecks,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.baseline,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.directLarge,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.directSmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size4,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"(io.vertx.benchmarks.ContextBenchmark.runOnContext,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.viaStringSmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertx,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMiss,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.nettySmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.directLarge,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size1,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMiss,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.directSmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size2,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size8,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.viaStringLarge,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.viaStringSmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.netty,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size16,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.nettySmall,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMatch,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.viaStringLarge,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.executeFromIO,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMatch,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMatch,a490f9b20aacf8b09a98cb2db51084214be0138b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideStringDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.baseline,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.wideStringDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size4,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.wideStringJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepBufferJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContext,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepStringDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallStringDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertx,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMiss,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.nettySmall,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.deepStringJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size1,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.wideBufferJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMiss,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepStringJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallStringJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallBufferDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.wideBufferDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.deepBufferJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size2,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size8,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.netty,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallBufferDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size16,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.nettySmall,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMatch,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.smallStringDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.deepStringDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMatch,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.smallStringJackson,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMiss,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMatch,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.deepBufferDatabind,db4dca16f0e8e863a873c12cc74067993212dc1d)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.executeFromIONoChecks,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.baseline,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.directLarge,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContextNoChecks,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.directSmall,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size4,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertxOpt,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ContextBenchmark.runOnContext,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersSetBenchmark.vertxSmall,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.viaStringSmall,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.vertx,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallMiss,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersEncodeBenchmark.nettySmall,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.directLarge,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallExactMatch,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size1,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.vertxSmallExactMiss,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.directSmall,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HeadersContainsBenchmark.nettySmallMiss,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size2,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.ConcurrentCyclicSequenceBenchmark.size8,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonDecodeBenchmark.viaStringLarge,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.JsonEncodeBenchmark.viaStringSmall,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.vertx.benchmarks.HttpServerHandlerBenchmark.netty,1e9b90ddd138102c4f17bc8cb4179b8a0e95c42e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
