"(Benchmark_method, commit)",Extract Variable,Change Variable Type,Move Method,Merge Parameter,Extract Superclass,Pull Up Method,Extract Method,Pull Up Attribute,Change Parameter Type,Move Attribute,Change Return Type,Change Attribute Type,Extract Attribute,Merge Attribute,Inline Variable,Extract And Move Method,Extract Class,Replace Variable With Attribute,Inline Method,Parameterize Variable,Merge Variable,Move Class,Split Attribute,Extract Interface,Extract Subclass,Push Down Method,Push Down Attribute,Move Source Folder,Split Variable,Split Parameter,Replace Attribute,Change Package,sum,delta
"(io.netty.handler.codec.http2.HpackDecoderULE128Benchmark.decodeMaxInt,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.http.HttpObjectEncoderBenchmark.contentLength,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.headers.HeadersBenchmark.http2AddAllSlow,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.SlicedByteBufBenchmark.writeAsciiStringSlice,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.buffer.ByteBufUtilDecodeStringBenchmark.decodeString,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufUtilBenchmark.writeAsciiViaArray,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.HttpRequestEncoderInsertBenchmark.newEncoder,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.http.HttpRequestEncoderInsertBenchmark.oldEncoder,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.PooledByteBufAllocatorAlignBenchmark.read,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.ByteBufBenchmark.setByteBufferDirect,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.handler.codec.CodecOutputListBenchmark.recyclableArrayList,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbench.buffer.HeapByteBufBenchmark.getInt,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.AsciiStringBenchmark.hashCodeBenchBytesOld,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.netty.microbenchmark.common.NetUtilBenchmark.useIsValidIpv4,33e2f5609de4f1d7696457d539ca58acd4e803e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
