"(Benchmark_method, commit)",Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract And Move Method,Extract Class,Move Method,Move Attribute,Inline Method,Extract Method,Extract Variable,Parameterize Variable,Push Down Attribute,Push Down Method,Change Package,Move Class,Inline Variable,Move Source Folder,Extract Interface,Extract Superclass,Pull Up Attribute,Pull Up Method,Merge Variable,Merge Parameter,Replace Variable With Attribute,Merge Attribute,sum,delta
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType1,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType3,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.LogbookBenchmark.noop,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace1xResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HeaderBenchmark.replace2xRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType2,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.json.JsonMediaTypeBenchmark.contentType4,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.zalando.logbook.HttpLogFormatterBenchmark.jsonResponse,ea62e26a9c4682a00f6a4b1afc43677029e7f714)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
