"(Benchmark_method, commit)",Change Return Type,Extract Class,Move Attribute,Move Method,Extract Method,Change Attribute Type,Change Parameter Type,Move Class,Extract Superclass,Pull Up Attribute,Extract Variable,Change Variable Type,Extract And Move Method,Move Source Folder,Inline Variable,Merge Parameter,Extract Subclass,Push Down Method,Pull Up Method,Parameterize Variable,Push Down Attribute,Inline Method,Merge Variable,Extract Attribute,Change Package,Merge Attribute,Extract Interface,Replace Variable With Attribute,Split Parameter,Split Attribute,Split Variable,Replace Attribute,sum,delta
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e2df454ebd097210c15f14454a86384613ed6c47)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,299473cf3dad520a86b3f167a64c5dc57c5f06cf)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,31bee4a732f6820c6f37a6f0cb4af305ed175508)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,6012f6eca85c88d0a4af0423b27872f8610ae18b)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,7f7d694b96cccb32c66701b4cfb64eb330b67132)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,13792e7aa2264334a60a77c9375c2dc1736cd990)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,6a144918e07fec166227647fd5730cbc95d951d4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0707501535e58b0ac5a44a4d1b0b86ad9bf17fa1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,2156c4fc9de3f3822e26c181d40c49f617b7d131)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,8b6cb43f324bc0f18a1cb60b0d952dc3d9e34e42)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,e0b79ca5b9791721b13b4347bdef922043660709)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,0743d249d15520b4891b1c69fbe5909088e3e461)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,8ca8264cf4ec3a744684665ec286d8d4ddeaa6c4)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,90479684574a001c5a5cf60ad30f02d11f6c0e98)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,33e4a549fbeaa780ab2a8d1022c680d0757242d6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,4c1d578f44c748f23b504e1c41e771ef1fa20c58)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,9522caa56c4b5e824a99615457449d7e429e3d83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,fb81c67e9f36ae2946c38b41c6df8fab913882f5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,88e4ab47fe173739866a3a54c22c5ddfb04bf0fe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,f58d601475e3281ba33e0e7b347af517a785555e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,28c6ae23b21f674fc248d1590dcef7f44b0cba85)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,b96ba791b3267f26187bef9d45cad4973687ecb8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,d9078e5ccb1de4a0b71b5f02b1458af2853e4972)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.drools.modelcompiler.benchmark.BuildFromKJarBenchmark.buildKnowledge,9fcfbf91671cddfa6fb00b7209396eaa923c956f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
