"(Benchmark_method, commit)",Change Variable Type,Change Attribute Type,Extract Method,Change Parameter Type,Change Return Type,Extract And Move Method,Inline Variable,Extract Variable,Merge Variable,Extract Class,Move Attribute,Inline Method,Merge Parameter,Replace Variable With Attribute,Move Class,Move Method,Parameterize Variable,Extract Attribute,Extract Subclass,Push Down Method,Push Down Attribute,Change Package,Split Attribute,Extract Superclass,Split Parameter,Move Source Folder,Pull Up Attribute,Pull Up Method,Merge Attribute,Extract Interface,Split Variable,sum,delta
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,ff7486bf9829ea4d14839c15a1acccaae1392e4f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,20f8eef1eaea85be5989311d03c5e35eed8c55ba)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,20f8eef1eaea85be5989311d03c5e35eed8c55ba)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,3a2283536d5a4bb47df520b7e0abb1c585b091e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,3a2283536d5a4bb47df520b7e0abb1c585b091e0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,35a19de97ecaa2574b516ef51e2e820f5a83b8ed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,35a19de97ecaa2574b516ef51e2e820f5a83b8ed)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,e73121df031dfd57eac1fe3a75f295a0e7ba8130)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkW3c,e73121df031dfd57eac1fe3a75f295a0e7ba8130)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(password.pwm.util.java.XmlFactoryBenchmarkExtendedTest.benchmarkJDom,f2cc3b0143ade483d6d6a2ecce01ee636078d06f)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
