"(Benchmark_method, commit)",Extract Method,Change Return Type,Change Attribute Type,Change Parameter Type,Change Variable Type,Extract Variable,Extract Attribute,Inline Variable,Replace Variable With Attribute,Inline Method,Parameterize Variable,Extract Class,Move Method,Move Attribute,Split Parameter,Extract Superclass,Extract And Move Method,Move Class,Extract Interface,Replace Attribute,Pull Up Attribute,Change Package,Extract Subclass,Push Down Attribute,Push Down Method,Pull Up Method,Move Source Folder,sum,delta
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,81ee0d062c888d8f8bcbc154cd7f0143710f458c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,81ee0d062c888d8f8bcbc154cd7f0143710f458c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,81ee0d062c888d8f8bcbc154cd7f0143710f458c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,81ee0d062c888d8f8bcbc154cd7f0143710f458c)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,a32c188c32fd0c4a8149bcda524d704dd609da6e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,a32c188c32fd0c4a8149bcda524d704dd609da6e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeExtractRemoveAll,a32c188c32fd0c4a8149bcda524d704dd609da6e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.timeBitSetRemoveAll,a32c188c32fd0c4a8149bcda524d704dd609da6e)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testBitSet,ca2e59c513edc2a8b30ff62595e01f8dff79f0d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(org.apache.commons.lang3.HashSetvBitSetTest.testHashSet,ca2e59c513edc2a8b30ff62595e01f8dff79f0d2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
