"(Benchmark_method, commit)",Extract Method,Change Attribute Type,Inline Method,Extract Variable,Inline Variable,Change Return Type,Change Variable Type,Change Parameter Type,Move Method,Replace Variable With Attribute,Parameterize Variable,Replace Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract And Move Method,Move Class,Move Attribute,Extract Subclass,Extract Class,Push Down Method,Push Down Attribute,Move Source Folder,Extract Interface,Change Package,Merge Attribute,Extract Attribute,Merge Variable,Merge Parameter,Split Attribute,sum,delta
"(io.reactivex.rxjava3.core.FlattenRangePerf.observable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.RxVsStreamPerf.rangeObservableFlatMap,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterable1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.JustAsyncPerf.observeOnSingle,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybePerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorFlatMapPerf.flatMapTwoNestedSync,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.PublishProcessorPerf.bounded1k,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.JustAsyncPerf.subscribeOnObservable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.EachTypeFlatMapPerf.nbpRange,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.FlattenJustPerf.observable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapSingleAsFlow1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapCompletablePerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapCompletablePerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybePerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.reactivex.rxjava3.core.BinaryFlatMapPerf.singleFlatMapHidePublisher,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapSingle1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BlockingGetPerf.observableBlockingFirst,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.EachTypeFlatMapPerf.singleJust,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.ReducePerf.flowSingle,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.JustAsyncPerf.subscribeOnCompletable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapMaybeAsObs0,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.JustAsyncPerf.observeOnCompletable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorMergePerf.mergeNSyncStreamsOfN,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.EachTypeFlatMapPerf.bpRange,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybePerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.PublishProcessorPerf.subject1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapSinglePerf.flowableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapSinglePerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableFlatMapSinglePerf.observableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.RxVsStreamPerf.rangeFlatMap,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapSinglePerf.observableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BinaryFlatMapPerf.completableFlatMapObservable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BlockingGetPerf.maybe,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.FlattenRangePerf.flowable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapSinglePerf.observableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.ToFlowablePerf.observable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BlockingGetPerf.completable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapMaybePerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybePerf.flowableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybeEmptyPerf.flowableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapIterableAsFlow0,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.JustAsyncPerf.pipelineObservable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybeEmptyPerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapCompletablePerf.flowableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineMaybe,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorMergePerf.oneStreamOfNthatMergesIn1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapCompletableAsObs0,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.ObservableFlatMapPerf.flatMapXRange,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.subscribeOnMaybe,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.ReducePerf.obsMaybe,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.RxVsStreamPerf.range,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorMergePerf.mergeNSyncStreamsOf1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.RxVsStreamPerf.rangeObservableFlatMapJust,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.StrictPerf.internal,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableFlatMapMaybePerf.observableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableFlatMapMaybeEmptyPerf.observableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapIterableAsFlow1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.parallel.ParallelPerf.flatMap,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineObservable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybePerf.observableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.ReducePerf.flowMaybe,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BinaryFlatMapPerf.singleFlatMapObservable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorFlatMapPerf.flatMapIntPassthruAsync,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BlockingPerf.observableBlockingFirst,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapFlowable1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.observeOnMaybe,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableFlatMapSinglePerf.flowableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.RxVsStreamPerf.rangeObservable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.JustAsyncPerf.pipelineMaybe,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapMaybeEmptyPerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapSinglePerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterable0,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapSinglePerf.flowablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybe0,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf.flatMap,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybeEmptyPerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.FlatMapJustPerf.flowable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapMaybeEmptyPerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorFlatMapPerf.flatMapIntPassthruSync,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.parallel.ParallelPerf.parallel,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybeAsFlow0,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapSinglePerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapCompletablePerf.flowableDedicated,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.observeOnObservable,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableSwitchMapCompletablePerf.flowableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapSinglePerf.observableConvert,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapIterable1,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableFlatMapSinglePerf.observablePlain,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BinaryFlatMapPerf.maybeFlatMapHidePublisher,b3ad0752de398f4536bb88a7b1c77b0b9fbecb87)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
