"(Benchmark_method, commit)",Extract Method,Change Attribute Type,Inline Method,Extract Variable,Inline Variable,Change Return Type,Change Variable Type,Change Parameter Type,Move Method,Replace Variable With Attribute,Parameterize Variable,Replace Attribute,Extract Superclass,Pull Up Method,Pull Up Attribute,Extract And Move Method,Move Class,Move Attribute,Extract Subclass,Extract Class,Push Down Method,Push Down Attribute,Move Source Folder,Extract Interface,Change Package,Merge Attribute,Extract Attribute,Merge Variable,Merge Parameter,Split Attribute,sum,delta
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybePerf.flowableConvert,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observablePlain,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.flowFlatMapMaybe1,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.parallel.ParallelPerf.groupBy,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.StrictPerf.external,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapIterableAsObs0,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.observeOnFlowable,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapCompletablePerf.observableConvert,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableFlatMapMaybePerf.observablePlain,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineFlowable,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.pipelineSingle,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.JustAsyncPerf.observeOnMaybe,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapCompletablePerf.flowablePlain,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybeEmptyPerf.observableConvert,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableConcatMapMaybeEmptyPerf.observableDedicated,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.CallableAsyncPerf.subscribeOnObservable,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableSwitchMapMaybePerf.observableDedicated,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.XMapYPerf.obsFlatMapObservable1,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.ToFlowablePerf.flowableInner,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.OperatorMergePerf.merge1SyncStreamOfN,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.core.BlockingGetPerf.single,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"(io.reactivex.rxjava3.xmapz.ObservableFlatMapSinglePerf.observableConvert,292dc62c97bd0a0569cd6d2278adaad134e72d12)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
